isolate,dose,cm,cm-6,inib,reduct,fungicide,year,genotype,mycelial_growth
3703,0,71.0325,65.0325,0,100,CARB,2013,15ADON,65.0325
3703,0.5,66.45,60.45,7.046476762,92.95352324,CARB,2013,15ADON,60.45
3703,1,30.27,24.27,62.68019836,37.31980164,CARB,2013,15ADON,24.27
3703,2,19.295,13.295,79.55637566,20.44362434,CARB,2013,15ADON,13.295
3703,4,6,0,100,0,CARB,2013,15ADON,0
3307,0,78.1225,72.1225,0,100,CARB,2013,15ADON,72.1225
3307,0.5,69.93,63.93,11.3591459,88.6408541,CARB,2013,15ADON,63.93
3307,1,42.9425,36.9425,48.77812056,51.22187944,CARB,2013,15ADON,36.9425
3307,2,22.385,16.385,77.2817082,22.7182918,CARB,2013,15ADON,16.385
3307,4,9.4075,3.4075,95.27539949,4.724600506,CARB,2013,15ADON,3.4075
3317,0,76.1525,70.1525,0,100,CARB,2013,15ADON,70.1525
3317,0.5,68.88,62.88,10.36670112,89.63329888,CARB,2013,15ADON,62.88
3317,1,45.765,39.765,43.31634653,56.68365347,CARB,2013,15ADON,39.765
3317,2,20.9025,14.9025,78.75699369,21.24300631,CARB,2013,15ADON,14.9025
3317,4,7.575,1.575,97.75489113,2.24510887,CARB,2013,15ADON,1.575
3357,0,74.985,68.985,0,100,CARB,2013,NIV,68.985
3357,0.5,69.025,63.025,8.639559324,91.36044068,CARB,2013,NIV,63.025
3357,1,39.2625,33.2625,51.7829963,48.2170037,CARB,2013,NIV,33.2625
3357,2,19.6825,13.6825,80.16597811,19.83402189,CARB,2013,NIV,13.6825
3357,4,6,0,100,0,CARB,2013,NIV,0
3387,0,60.8975,54.8975,0,100,CARB,2013,15ADON,54.8975
3387,0.5,63.9575,57.9575,-5.574024318,105.5740243,CARB,2013,15ADON,57.9575
3387,1,35.42,29.42,46.40921718,53.59078282,CARB,2013,15ADON,29.42
3387,2,18.895,12.895,76.51077007,23.48922993,CARB,2013,15ADON,12.895
3387,4,6,0,100,0,CARB,2013,15ADON,0
3400,0,70.7125,64.7125,0,100,CARB,2013,15ADON,64.7125
3400,0.5,62.105,56.105,13.30113966,86.69886034,CARB,2013,15ADON,56.105
3400,1,43.3925,37.3925,42.21750048,57.78249952,CARB,2013,15ADON,37.3925
3400,2,20.115,14.115,78.18813985,21.81186015,CARB,2013,15ADON,14.115
3400,4,6,0,100,0,CARB,2013,15ADON,0
3448,0,67.3825,61.3825,0,100,CARB,2013,3ADON,61.3825
3448,0.5,55.3925,49.3925,19.53325459,80.46674541,CARB,2013,3ADON,49.3925
3448,1,49.7925,43.7925,28.656376,71.343624,CARB,2013,3ADON,43.7925
3448,2,25.83,19.83,67.69437543,32.30562457,CARB,2013,3ADON,19.83
3448,4,6,0,100,0,CARB,2013,3ADON,0
3576,0,81.1825,75.1825,0,100,CARB,2013,15ADON,75.1825
3576,0.5,79.245,73.245,2.577062481,97.42293752,CARB,2013,15ADON,73.245
3576,1,42.855,36.855,50.97928374,49.02071626,CARB,2013,15ADON,36.855
3576,2,19.495,13.495,82.05034416,17.94965584,CARB,2013,15ADON,13.495
3576,4,6,0,100,0,CARB,2013,15ADON,0
3577,0,78.1025,72.1025,0,100,CARB,2013,15ADON,72.1025
3577,0.5,63.7375,57.7375,19.92302625,80.07697375,CARB,2013,15ADON,57.7375
3577,1,43.74,37.74,47.6578482,52.3421518,CARB,2013,15ADON,37.74
3577,2,14.0925,8.0925,88.77639472,11.22360528,CARB,2013,15ADON,8.0925
3577,4,6,0,100,0,CARB,2013,15ADON,0
004-13,0,74.0225,68.0225,0,100,CARB,2013,15ADON,68.0225
004-13,0.5,73.5975,67.5975,0.6247932669,99.37520673,CARB,2013,15ADON,67.5975
004-13,1,40.8475,34.8475,48.77062737,51.22937263,CARB,2013,15ADON,34.8475
004-13,2,18.87,12.87,81.07978978,18.92021022,CARB,2013,15ADON,12.87
004-13,4,6,0,100,0,CARB,2013,15ADON,0
015-13,0,71.8075,65.8075,0,100,CARB,2013,15ADON,65.8075
015-13,0.5,71.7825,65.7825,0.03798959085,99.96201041,CARB,2013,15ADON,65.7825
015-13,1,44.83,38.83,40.99456749,59.00543251,CARB,2013,15ADON,38.83
015-13,2,20.6675,14.6675,77.71150705,22.28849295,CARB,2013,15ADON,14.6675
015-13,4,6,0,100,0,CARB,2013,15ADON,0
2514,0,61.54,55.54,0,100,CARB,2012,XXX,55.54
2514,0.5,67.4075,61.4075,-10.56445805,110.564458,CARB,2012,XXX,61.4075
2514,1,28.7075,22.7075,59.11505221,40.88494779,CARB,2012,XXX,22.7075
2514,2,18.8575,12.8575,76.85001801,23.14998199,CARB,2012,XXX,12.8575
2514,4,6,0,100,0,CARB,2012,XXX,0
3159,0,64.645,58.645,0,100,CARB,2012,NIV,58.645
3159,0.5,70.2725,64.2725,-9.595873476,109.5958735,CARB,2012,NIV,64.2725
3159,1,37.755,31.755,45.85216131,54.14783869,CARB,2012,NIV,31.755
3159,2,22.13,16.13,72.49552392,27.50447608,CARB,2012,NIV,16.13
3159,4,6,0,100,0,CARB,2012,NIV,0
2499,0,72.92,66.92,0,100,CARB,2012,NIV,66.92
2499,0.5,64.0875,58.0875,13.19859534,86.80140466,CARB,2012,NIV,58.0875
2499,1,24.0625,18.0625,73.0088165,26.991183500000002,CARB,2012,NIV,18.0625
2499,2,18.1975,12.1975,81.77301255,18.22698745,CARB,2012,NIV,12.1975
2499,4,6,0,100,0,CARB,2012,NIV,0
2990,0,72.1025,66.1025,0,100,CARB,2012,NIV,66.1025
2990,0.5,69.01,63.01,4.678340456,95.32165954,CARB,2012,NIV,63.01
2990,1,42.545,36.545,44.71464771,55.28535229,CARB,2012,NIV,36.545
2990,2,21.5925,15.5925,76.41163345,23.58836655,CARB,2012,NIV,15.5925
2990,4,6,0,100,0,CARB,2012,NIV,0
3074,0,68.595,62.595,0,100,CARB,2012,NIV,62.595
3074,0.5,68.48,62.48,0.1837207445,99.81627926,CARB,2012,NIV,62.48
3074,1,39.1375,33.1375,47.06046809,52.93953191,CARB,2012,NIV,33.1375
3074,2,19.8825,13.8825,77.821711,22.178289,CARB,2012,NIV,13.8825
3074,4,10.44,4.44,92.90678169,7.093218308,CARB,2012,NIV,4.44
3270,0,80.31,74.31,0,100,CARB,2012,NIV,74.31
3270,0.5,72.0175,66.0175,11.15933253,88.84066747,CARB,2012,NIV,66.0175
3270,1,36.3475,30.3475,59.16094738,40.83905262,CARB,2012,NIV,30.3475
3270,2,21.75,15.75,78.80500606,21.19499394,CARB,2012,NIV,15.75
3270,4,14.445,8.445,88.6354461,11.3645539,CARB,2012,NIV,8.445
2536,0,41.14,35.14,0,100,CARB,2012,15ADON,35.14
2536,0.5,38.1975,32.1975,8.373648264,91.62635174,CARB,2012,15ADON,32.1975
2536,1,34.3275,28.3275,19.38673876,80.61326124,CARB,2012,15ADON,28.3275
2536,2,27.0025,21.0025,40.23192943,59.76807057,CARB,2012,15ADON,21.0025
2536,4,19.2375,13.2375,62.32925441,37.67074559,CARB,2012,15ADON,13.2375
3038,0,66.2725,60.2725,0,100,CARB,2012,NIV,60.2725
3038,0.5,70.1225,64.1225,-6.387656062,106.3876561,CARB,2012,NIV,64.1225
3038,1,37.6325,31.6325,47.51752458,52.48247542,CARB,2012,NIV,31.6325
3038,2,21.615,15.615,74.09266249,25.90733751,CARB,2012,NIV,15.615
3038,4,9.9125,3.9125,93.50864822,6.491351777,CARB,2012,NIV,3.9125
3097,0,71.99725,65.99725,0,100,CARB,2012,XXX,65.99725
3097,0.5,67.1975,61.1975,7.272651512,92.72734849,CARB,2012,XXX,61.1975
3097,1,48.2775,42.2775,35.94051267,64.05948733,CARB,2012,XXX,42.2775
3097,2,27.1375,21.1375,67.97215035,32.02784965,CARB,2012,XXX,21.1375
3097,4,6,0,100,0,CARB,2012,XXX,0
3145,0,74.175,68.175,0,100,CARB,2012,NIV,68.175
3145,0.5,65.3475,59.3475,12.94829483,87.05170517,CARB,2012,NIV,59.3475
3145,1,34.5275,28.5275,58.15548221,41.84451779,CARB,2012,NIV,28.5275
3145,2,21.495,15.495,77.27172717,22.72827283,CARB,2012,NIV,15.495
3145,4,12.805,6.805,90.01833517,9.981664833,CARB,2012,NIV,6.805
2794,0,72.03,66.03,0,100,TEBU,2011,15ADON,66.03
2794,0.5,30.27,24.27,63.24398001,36.75601999,TEBU,2011,15ADON,24.27
2794,1,15.3175,9.32,85.88898985,14.11101015,TEBU,2011,15ADON,9.32
2794,2,16.2425,10.24,84.48811146,15.51188854,TEBU,2011,15ADON,10.24
2794,4,13.72,7.72,88.30834469,11.69165531,TEBU,2011,15ADON,7.72
2832,0,75.36,69.36,0,100,TEBU,2011,15ADON,69.36
2832,0.5,46.8825,40.88,41.05327662,58.94672338,TEBU,2011,15ADON,40.88
2832,1,35.4275,29.43,57.56974984,42.43025016,TEBU,2011,15ADON,29.43
2832,2,23.7375,17.74,74.42505948,25.57494052,TEBU,2011,15ADON,17.74
2832,4,15.5325,9.53,86.25549708,13.74450292,TEBU,2011,15ADON,9.53
2781,0,58.27,52.27,0,100,TEBU,2011,15ADON,52.27
2781,0.5,28.2575,22.26,57.41413948,42.58586052,TEBU,2011,15ADON,22.26
2781,1,25.5175,19.52,62.65665359,37.34334641,TEBU,2011,15ADON,19.52
2781,2,19.5825,13.58,74.01224529,25.98775471,TEBU,2011,15ADON,13.58
2781,4,15.775,9.78,81.29723524,18.70276476,TEBU,2011,15ADON,9.78
2816,0,81.5,75.5,0,100,TEBU,2011,15ADON,75.5
2816,0.5,59.8025,53.8,28.7384106,71.2615894,TEBU,2011,15ADON,53.8
2816,1,50.5625,44.56,40.97682119,59.02317881,TEBU,2011,15ADON,44.56
2816,2,44.7,38.7,48.74172185,51.25827815,TEBU,2011,15ADON,38.7
2816,4,34.05,28.05,62.84768212,37.15231788,TEBU,2011,15ADON,28.05
2546,0,78.74,72.74,0,100,TEBU,2011,15ADON,72.74
2546,0.5,42.43,36.43,49.91407163,50.08592837,TEBU,2011,15ADON,36.43
2546,1,37.3175,31.32,56.9430123,43.0569877,TEBU,2011,15ADON,31.32
2546,2,24.625,18.63,74.39334571,25.60665429,TEBU,2011,15ADON,18.63
2546,4,20.18,14.18,80.50457139,19.49542861,TEBU,2011,15ADON,14.18
2551,0,60.74,54.74,0,100,TEBU,2011,15ADON,54.74
2551,0.5,24.095,18.1,66.94222425,33.05777575,TEBU,2011,15ADON,18.1
2551,1,19.725,13.73,74.92578214,25.07421786,TEBU,2011,15ADON,13.73
2551,2,17.5725,11.57,78.8581868,21.1418132,TEBU,2011,15ADON,11.57
2551,4,14.5675,8.57,84.34802466,15.65197534,TEBU,2011,15ADON,8.57
2655,0,51.18,45.18,0,100,TEBU,2011,15ADON,45.18
2655,0.5,34.095,28.1,37.81196392,62.18803608,TEBU,2011,15ADON,28.1
2655,1,20.9875,14.99,66.8253002,33.1746998,TEBU,2011,15ADON,14.99
2655,2,15.7125,9.71,78.50146644,21.49853356,TEBU,2011,15ADON,9.71
2655,4,14.3525,8.35,81.51181451,18.48818549,TEBU,2011,15ADON,8.35
2662,0,72.69,66.69,0,100,TEBU,2011,15ADON,66.69
2662,0.5,54.9925,48.99,26.53420806,73.46579194,TEBU,2011,15ADON,48.99
2662,1,51.745,45.75,31.40393627,68.59606373,TEBU,2011,15ADON,45.75
2662,2,41.8175,35.82,46.29053421,53.70946579,TEBU,2011,15ADON,35.82
2662,4,28.045,22.05,66.94283037,33.05716963,TEBU,2011,15ADON,22.05
2727,0,78.05,72.05,0,100,TEBU,2011,15ADON,72.05
2727,0.5,27.8,21.8,69.74428368,30.25571632,TEBU,2011,15ADON,21.8
2727,1,25.5275,19.53,72.89823393,27.10176607,TEBU,2011,15ADON,19.53
2727,2,17.995,12,83.35241664,16.64758336,TEBU,2011,15ADON,12
2727,4,14.68,8.68,87.95322855,12.04677145,TEBU,2011,15ADON,8.68
2702,0,72.41,66.41,0,100,TEBU,2011,15ADON,66.41
2702,0.5,29.11,23.11,65.19971389,34.80028611,TEBU,2011,15ADON,23.11
2702,1,22.085,16.09,75.77833829,24.22166171,TEBU,2011,15ADON,16.09
2702,2,19.245,13.25,80.05496367,19.94503633,TEBU,2011,15ADON,13.25
2702,4,14.17,8.17,87.69717276,12.30282724,TEBU,2011,15ADON,8.17
3676,0,83.93,77.93,0,100,TEBU,2013,3ADON,77.93
3676,0.5,28.7275,22.73,70.83413539,29.16586461,TEBU,2013,3ADON,22.73
3676,1,24.0575,18.06,76.82707732,23.17292268,TEBU,2013,3ADON,18.06
3676,2,21.495,15.5,80.11549567,19.88450433,TEBU,2013,3ADON,15.5
3676,4,18.255,12.26,84.27333975,15.72666025,TEBU,2013,3ADON,12.26
3680,0,67.8,61.8,0,100,TEBU,2013,NIV,61.8
3680,0.5,27.1625,21.16,65.75370176,34.24629824,TEBU,2013,NIV,21.16
3680,1,21.85,15.85,74.35067562,25.64932438,TEBU,2013,NIV,15.85
3680,2,21.6775,15.68,74.62982442,25.37017558,TEBU,2013,NIV,15.68
3680,4,17.9925,11.99,80.59309006,19.40690994,TEBU,2013,NIV,11.99
3685,0,71.49,65.49,0,100,TEBU,2013,15ADON,65.49
3685,0.5,40.135,34.14,47.87355883,52.12644117,TEBU,2013,15ADON,34.14
3685,1,31.525,25.53,61.021608,38.978392,TEBU,2013,15ADON,25.53
3685,2,17.695,11.7,82.14094831,17.85905169,TEBU,2013,15ADON,11.7
3685,4,17.7125,11.71,82.11422463,17.88577537,TEBU,2013,15ADON,11.71
3698,0,63.74,57.74,0,100,TEBU,2013,15ADON,57.74
3698,0.5,31.8025,25.8,55.31260824,44.68739176,TEBU,2013,15ADON,25.8
3698,1,25.5925,19.59,66.06771735,33.93228265,TEBU,2013,15ADON,19.59
3698,2,19.5675,13.57,76.50242466,23.49757534,TEBU,2013,15ADON,13.57
3698,4,16.1675,10.17,82.3908902,17.6091098,TEBU,2013,15ADON,10.17
3703,0,71.03,65.03,0,100,TEBU,2013,15ADON,65.03
3703,0.5,31.17,25.17,61.296274940000004,38.70372506,TEBU,2013,15ADON,25.17
3703,1,20.895,14.9,77.09606735,22.90393265,TEBU,2013,15ADON,14.9
3703,2,20.45,14.45,77.7803406,22.2196594,TEBU,2013,15ADON,14.45
3703,4,16.4525,10.45,83.92726714,16.07273286,TEBU,2013,15ADON,10.45
3307,0,78.12,72.12,0,100,TEBU,2013,15ADON,72.12
3307,0.5,37.6275,31.63,56.14752678,43.85247322,TEBU,2013,15ADON,31.63
