id,code,location,year,genotype,state,country,test1,test2,carb1,carb2,teb1,teb2,rep_discrim,teb_dose2_rep1,teb_dose2_rep2
211,3709,Guarapuava,2014,NIV,PR,Brazil,55.46,57.54,21.54,21.04,25.39,23.35,1,NA,NA
212,3710,Goioxim,2014,15ADON,PR,Brazil,43.61,42.2,17.66,16.57,15.82,15.72,1,NA,NA
213,3711,Pitanga,2014,15ADON,PR,Brazil,45.8,42.2,20.64,21.15,18.48,18.17,1,NA,NA
214,3712,Pitanga,2014,15ADON,PR,Brazil,37.71,36.03,17.82,16.5,17.51,17.19,1,NA,NA
215,3713,Pitanga,2014,15ADON,PR,Brazil,47.2,40.16,17.75,15.86,20.38,20.7,1,NA,NA
216,3714,Pitanga,2014,15ADON,PR,Brazil,52.43,54.98,15.62,14.56,18.87,19.11,1,NA,NA
217,3715,Pitanga,2014,15ADON,PR,Brazil,49.16,44.56,21.34,21.98,25.12,24.6,1,NA,NA
218,3716,Guarapuava,2014,15ADON,PR,Brazil,39.84,44.13,20.82,21.08,17.84,18.24,1,NA,NA
219,3717,Guarapuava,2014,15ADON,PR,Brazil,46.24,44.15,20.24,21.02,21.57,20.06,1,NA,NA
220,3718,Guarapuava,2014,15ADON,PR,Brazil,40.3,40.52,22.87,20.99,20.05,17.6,1,NA,NA
221,3719,Guarapuava,2014,15ADON,PR,Brazil,34.69,36.83,19.98,21.17,23.32,21.9,1,NA,NA
222,3720,Guarapuava,2014,15ADON,PR,Brazil,37.72,35.57,17.18,17.77,19.82,20.85,1,NA,NA
223,3721,Guarapuava,2014,15ADON,PR,Brazil,47.53,46.92,20.03,18.78,20.38,21.5,1,NA,NA
224,3722,Guarapuava,2014,15ADON,PR,Brazil,47.28,43,19.03,17.85,21.66,21.23,1,NA,NA
225,3723,Guarapuava,2014,15ADON,PR,Brazil,48.05,48.79,19.28,19.1,20.79,18.33,1,NA,NA
226,3724,Guarapuava,2014,15ADON,PR,Brazil,51.91,53.83,25.43,27.29,26.5,22.93,1,NA,NA
227,3725,Guarapuava,2014,15ADON,PR,Brazil,54.63,54.12,19.92,20.09,15.74,15.24,1,NA,NA
228,2816,NA,2011,NA,PR,Brazil,55.08,58.21,NA,NA,32.59,32.3,2,23.33,24.13
229,2636,NA,2011,NA,PR,Brazil,52.09,55.75,NA,NA,29.97,30.1,2,24.75,25.86
230,2832,NA,2011,NA,PR,Brazil,51.51,52.99,NA,NA,29.85,30.61,2,19.16,19.77
